"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"October 5, 2015",Texas,Houston,"11205 Bellaire Boulevard",2,0,N/A
"October 5, 2015",California,"San Diego",N/A,1,0,N/A
"October 5, 2015",California,Sacramento,"4700 block of 50th Avenue",1,0,N/A
"October 5, 2015",Michigan,Detroit,"Steel Street",1,0,N/A
"October 5, 2015",Louisiana,"La Place (Laplace)","400 Block of State Street",1,2,N/A
"October 5, 2015",Kentucky,Louisville,"400 block of Marret Avenue",1,1,N/A
"October 5, 2015",Missouri,"Kansas City","8100 block of Blue Ridge Boulevard",1,0,N/A
"October 4, 2015",Virginia,"Hybla Valley","7100 block of Groveton Gardens Road",1,0,N/A
"October 4, 2015",Georgia,"Union City","6295 Oakley Road",1,0,N/A
"October 4, 2015",Virginia,Richmond,"1900 block of Redd Street",1,0,N/A
"October 4, 2015",California,"North Hollywood","Saticoy Street and Bellaire Avenue",1,0,N/A
"October 4, 2015",California,Montclair,"4300 block of El Morado Street",2,1,N/A
"October 4, 2015",Tennessee,Memphis,"4900 block of Crosswater Lane",1,0,N/A
"October 4, 2015",Tennessee,Memphis,"2500 block of East Hillview Drive",1,0,N/A
"October 4, 2015",Ohio,Akron,"1000 block of Peckham Street",1,0,N/A
"October 4, 2015",Tennessee,Clarksville,"900 block of Princeton Drive",1,1,N/A
"October 4, 2015",Ohio,Cincinnati,"LaFeuille Circle",1,0,N/A
"October 4, 2015",Mississippi,Jackson,"760 Willow Street",1,0,N/A
"October 4, 2015",Illinois,Chicago,"3500 block of West Grenshaw",1,1,N/A
"October 4, 2015","New York",Bronx,"2525 Morris Avenue",1,0,N/A
"October 4, 2015","New York","Staten Island","425 Vanderbilt Avenue",2,0,N/A
"October 4, 2015",Texas,"Corpus Christi","3600 South Staples Street",1,0,N/A
"October 4, 2015",Indiana,"Fort Wayne","100 block of Dewald Street",1,0,N/A
"October 4, 2015",Indiana,Indianapolis,"2800 block of East New York Street",1,0,N/A
"October 4, 2015",Indiana,Indianapolis,"2000 block of Berwick Avenue",2,0,N/A
"October 4, 2015",Texas,Victoria,N/A,1,0,N/A
"October 4, 2015",Illinois,Chicago,"6800 block of South Loomis Boulevard",1,0,N/A
"October 4, 2015",Florida,Palatka,"2500 block of Westover Drive",2,0,N/A
"October 4, 2015",Maryland,Baltimore,"1100 block of Orleans Street",1,0,N/A
"October 4, 2015",Maryland,Halethorpe,"3200 block of Lorena Avenue",1,0,N/A
"October 4, 2015","New York","Corona (Queens)","111-21 120th St",1,0,N/A
"October 4, 2015",Texas,Houston,"Buffalo Speedway and South Main",1,0,N/A
"October 4, 2015",Pennsylvania,Lancaster,"2100 Thomasville Street",1,0,N/A
"October 4, 2015",Pennsylvania,Philadelphia,"2400 North 29th Street",2,0,N/A
"October 4, 2015",Iowa,Dubuque,"700 block of Rhomberg Avenue",1,0,N/A
"October 4, 2015",Missouri,"Kansas City","83rd Street and Hillcrest Road",1,0,N/A
"October 4, 2015",Pennsylvania,Philadelphia,"300 block of East Wister Street",1,1,N/A
"October 4, 2015",Virginia,"Mount Vernon","7100 block of Groveton Gardens Road",1,0,N/A
"October 4, 2015",Alabama,"Muscle Shoals",N/A,1,0,N/A
"October 4, 2015","North Carolina",Wallace,"Highway 41",1,0,N/A
"October 4, 2015","North Carolina",Wallace,"Raleigh Road",1,0,N/A
"October 3, 2015",Michigan,Detroit,"Finkle and Meyers",1,0,N/A
"October 3, 2015","New Jersey",Deptford,"200 Idlewood Way",2,0,N/A
"October 3, 2015",Pennsylvania,"South Tamaqua","687 Arrow Road",1,1,N/A
"October 3, 2015",Oregon,Portland,"13639 SE Powell Boulevard",1,0,N/A
"October 3, 2015",Maryland,Baltimore,"100 Mount Street",1,0,N/A
"October 3, 2015",Georgia,Savannah,"9400 block of Whitfield Avenue",2,0,N/A
"October 3, 2015","District of Columbia",Washington,"700 H Street NE",1,2,N/A
"October 3, 2015",Tennessee,"White Pine","Robin Road",1,0,N/A
"October 3, 2015",Missouri,"Saint Louis (Wellston)","6400 block of Myrtle",1,0,N/A
"October 3, 2015",Pennsylvania,Mckeesport,"Idaho Street",1,1,N/A
"October 3, 2015","South Carolina",Lancaster,"Thomasville Street",1,0,N/A
"October 3, 2015",California,"Van Nuys","Victory and Sepulveda Boulevards",1,0,N/A
"October 3, 2015",Mississippi,Clarksdale,"600 block of Ritchie Street",1,0,N/A
"October 3, 2015",Arkansas,"Lead Hill","Cedar Grove Road",2,0,N/A
"October 3, 2015",Ohio,Akron,"600 block of Chittenden Street",1,1,N/A
"October 3, 2015",Michigan,Detroit,"14000 block of Steel Street",1,0,N/A
"October 3, 2015",Oklahoma,Tulsa,"Phoenix Avenue and Archer Street",1,0,N/A
"October 3, 2015",Tennessee,Jonesborough,"123 Skyline Road",3,0,N/A
"October 2, 2015",Alabama,Birmingham,"3500 block of 45th Street Southwest",1,0,N/A
"October 2, 2015",Maryland,Baltimore,"1700 Sherwood Avenue",1,0,N/A
"October 2, 2015",Maryland,Baltimore,"5500 Reisterstown Road",1,4,N/A
"October 2, 2015",Texas,"San Marcos","Thorpe Lane",1,0,N/A
"October 2, 2015",Delaware,Dover,"400 Barrister Place",1,0,N/A
"October 2, 2015",Nevada,"Elko (county)","O'Neil Basin",1,0,N/A
"October 2, 2015",Nevada,"Las Vegas","7200 block of Hardtack Circle",3,0,N/A
"October 2, 2015",Oregon,Portland,"7401 Northeast Glisan Street",2,1,N/A
"October 2, 2015",Mississippi,"West Point","North Forest Street",1,0,N/A
"October 2, 2015",Ohio,Carrollton,"8400 block of Bay Road",1,0,N/A
"October 2, 2015",Indiana,Indianapolis,"400 block of North Exeter Avenue",1,0,N/A
"October 2, 2015","North Carolina",Charlotte,"Nobles Avenue",1,0,N/A
"October 2, 2015",Texas,"Corpus Christi",Saratoga,1,0,N/A
"October 2, 2015",Texas,Amarillo,"14800 Block of XIT Trail",1,0,N/A
"October 2, 2015",California,Sacramento,"300 block of Vallejo Way",1,0,N/A
"October 2, 2015",Oregon,"Beaverton (Aloha)","18000 SW Shaw Street",1,0,N/A
"October 2, 2015",Florida,Jacksonville,"Bullfinch Court",1,0,N/A
"October 2, 2015",Alabama,Birmingham,"300 block of 9th Street West",1,0,N/A
"October 2, 2015",California,"Garden Grove","12600 block of Keel Avenue",1,1,N/A
"October 2, 2015",California,Rialto,"200 block of South Linden Avenue",1,0,N/A
